File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\LiberoProjects\HSM\HSM\UART.c,"UART_clear_variable(uint8_t *p_var, uint16_t size)",8,7,5,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\User.c,USER_init(),38,27,24,2,7,2,4,40,
E:\LiberoProjects\HSM\HSM\User.c,USER_terminate(),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\User.c,USER_getNextAvailableID(),20,13,7,7,4,0,3,12,
E:\LiberoProjects\HSM\HSM\User.c,USER_isFull(),5,4,3,3,1,0,0,0,
E:\LiberoProjects\HSM\HSM\User.c,"USER_add(uint8_t ID, uint8_t * plainPIN)",92,58,51,13,18,1,16,67,
E:\LiberoProjects\HSM\HSM\User.c,USER_modify(USER *user),45,21,22,3,10,1,14,60,
E:\LiberoProjects\HSM\HSM\User.c,USER_get(uint8_t ID),101,66,46,24,14,3,21,98,
E:\LiberoProjects\HSM\HSM\User.c,USER_remove(uint8_t ID),7,7,5,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\User.c,USER_isAdmin(uint8_t * PIN),12,8,7,3,2,0,2,21,
E:\LiberoProjects\HSM\HSM\User.c,"USER_comparePIN(uint8_t * plainP1, uint8_t * P2)",13,10,8,4,2,0,1,14,
E:\LiberoProjects\HSM\HSM\User.c,USER_exists(uint8_t ID),5,4,3,3,1,0,0,0,
E:\LiberoProjects\HSM\HSM\User.c,"USER_verify(uint8_t ID, uint8_t * P1)",30,23,16,9,5,0,2,5,
E:\LiberoProjects\HSM\HSM\User.c,USER_free(USER * u),12,10,6,4,2,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,SystemInit(void),106,46,24,2,15,0,45,245,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,SystemCoreClockUpdate(void),69,56,35,7,8,0,5,31,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,get_rcosc_25_50mhz_frequency(void),17,13,9,2,2,0,2,18,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,set_clock_frequency_globals(uint32_t standby_clk),8,8,8,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,"copy_cfg16_to_regs( volatile uint32_t * p_regs, const uint16_t * p_cfg, uint32_t nb_16bit_words )",7,6,4,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,"config_by_addr_value( const cfg_addr_value_pair_t * p_addr_value_pair, uint32_t nb_of_cfg_pairs )",7,6,4,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,"config_ddr_subsys( const ddr_subsys_cfg_t * p_ddr_subsys_cfg, DDRCore_TypeDef * p_ddr_subsys_regs )",44,25,23,1,7,0,12,28,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,configure_serdes_intf(void),16,13,5,0,3,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,configure_pcie_intf(void),16,13,5,0,3,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,"configure_pcie_block( const cfg_addr_value_pair_t * p_addr_value_pair, uint32_t nb_of_cfg_pairs, uint32_t serdes_id )",78,57,36,6,10,0,11,31,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,get_silicon_revision(void),21,17,12,5,4,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,silicon_workarounds(void),18,13,7,3,3,0,2,6,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,m2s050_rev_a_workarounds(void),9,3,3,0,1,0,5,18,
E:\LiberoProjects\HSM\HSM\CMSIS\system_m2sxxx.c,complete_clock_config(void),21,11,11,0,5,0,5,34,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,"write_reg32(volatile uint32_t * reg, uint32_t val)",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,"write_reg16(volatile uint16_t * reg, uint16_t val)",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,"write_reg8(volatile uint8_t * reg, uint8_t val)",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,read_reg32(volatile uint32_t * reg),2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,read_reg16(volatile uint16_t * reg),2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,read_reg8(volatile uint8_t * reg),2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,"set_bit_reg32(volatile uint32_t * reg, uint8_t bit)",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,"set_bit_reg16(volatile uint16_t * reg, uint8_t bit)",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,"set_bit_reg8(volatile uint8_t * reg, uint8_t bit)",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,"clear_bit_reg32(volatile uint32_t * reg, uint8_t bit)",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,"clear_bit_reg16(volatile uint16_t * reg, uint8_t bit)",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,"clear_bit_reg8(volatile uint8_t * reg, uint8_t bit)",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,"read_bit_reg32(volatile uint32_t * reg, uint8_t bit)",2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,"read_bit_reg16(volatile uint16_t * reg, uint8_t bit)",2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\hw_reg_io.h,"read_bit_reg8(volatile uint8_t * reg, uint8_t bit)",2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,_close(int file),2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,"_execve(char *name, char **argv, char **env)",3,3,3,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,_exit( int code ),6,5,3,1,0,0,1,7,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,_fork(void),3,3,3,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,"_fstat(int file, struct stat *st)",3,3,3,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,_getpid(void),2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,_isatty(int file),2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,"_kill(int pid, int sig)",3,3,3,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,"_link(char *old, char *new)",3,3,3,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,"_lseek(int file, int ptr, int dir)",2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,"_open(const char *name, int flags, int mode)",2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,"_read(int file, char *ptr, int len)",2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,"_write_r( void * reent, int file, char * ptr, int len )",24,14,7,3,3,2,7,30,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,_sbrk(int incr),53,32,22,5,5,2,16,147,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,"_stat(char *file, struct stat *st)",3,3,3,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,_times(struct tms *buf),2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,_unlink(char *name),3,3,3,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\CMSIS\startup_gcc\newlib_stubs.c,_wait(int *status),3,3,3,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_comblk.c,"MSS_COMBLK_init( comblk_async_event_handler_t async_event_handler, uint8_t* p_response )",41,21,21,0,5,0,15,58,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_comblk.c,"MSS_COMBLK_send_cmd_with_ptr( uint8_t cmd_opcode, uint32_t cmd_params_ptr, uint8_t * p_response, uint16_t response_size, comblk_completion_handler_t completion_handler )",58,27,27,0,10,0,21,81,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_comblk.c,"MSS_COMBLK_send_cmd( const uint8_t * p_cmd, uint16_t cmd_size, const uint8_t * p_data, uint32_t data_size, uint8_t * p_response, uint16_t response_size, comblk_completion_handler_t completion_handler )",64,41,33,2,8,1,15,37,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_comblk.c,"MSS_COMBLK_send_paged_cmd( const uint8_t * p_cmd, uint16_t cmd_size, uint8_t * p_response, uint16_t response_size, comblk_page_handler_t page_read_handler, comblk_completion_handler_t completion_handler )",59,37,33,1,7,1,15,37,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_comblk.c,ComBlk_IRQHandler(void),22,16,12,2,5,0,1,7,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_comblk.c,handle_tx_okay_irq(void),125,94,53,14,4,0,27,114,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_comblk.c,handle_rx_okay_irq(void),131,106,67,17,9,0,16,79,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_comblk.c,complete_request( uint16_t response_length ),7,7,5,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_comblk.c,abort_current_cmd(void),19,10,8,1,2,0,7,26,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_comblk.c,send_cmd_opcode( uint8_t opcode ),13,7,7,0,3,0,3,21,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_comblk.c,"fill_tx_fifo( const uint8_t * p_cmd, uint32_t cmd_size )",17,13,11,2,3,0,1,7,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_comblk.c,process_sys_ctrl_command(uint8_t cmd_opcode),5,5,3,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_init(sys_serv_async_event_handler_t event_handler),15,6,6,0,2,0,7,34,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,asynchronous_event_handler(uint8_t event_opcode),73,49,26,7,5,0,19,116,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_get_serial_number( uint8_t * p_serial_number ),10,8,5,1,2,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_get_user_code( uint8_t * p_user_code ),10,8,5,1,2,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_get_design_version( uint8_t * p_design_version ),10,8,5,1,2,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_get_device_certificate( uint8_t * p_device_certificate ),10,8,5,1,2,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_get_secondary_device_certificate( uint8_t * p_secondary_device_certificate ),19,12,9,1,3,0,4,24,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"determine_seq(uint8_t val, uint8_t* len)",42,34,25,9,8,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,clk_switching_fix(void),118,80,54,9,13,0,25,147,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,revert_clk_config(void),70,52,36,5,7,0,11,71,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_flash_freeze(uint8_t options),71,39,24,3,10,7,22,166,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_128bit_aes( const uint8_t * key, const uint8_t * iv, uint16_t nb_blocks, uint8_t mode, uint8_t * dest_addr, const uint8_t * src_addr)",22,17,14,1,5,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_256bit_aes( const uint8_t * key, const uint8_t * iv, uint16_t nb_blocks, uint8_t mode, uint8_t * dest_addr, const uint8_t * src_addr )",22,17,14,1,5,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_sha256( const uint8_t * p_data_in, uint32_t length, uint8_t * result )",19,15,12,1,4,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_hmac( const uint8_t * key, const uint8_t * p_data_in, uint32_t length, uint8_t * p_result )",21,16,13,1,5,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_key_tree( uint8_t* p_key, uint8_t op_type, const uint8_t* path )",22,16,11,2,6,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_challenge_response( uint8_t* p_key, uint8_t op_type, const uint8_t* path )",20,15,12,1,5,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_nrbg_reset(void),34,28,17,2,6,7,0,14,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_nrbg_self_test(void),31,25,14,2,6,7,0,14,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_nrbg_instantiate( const uint8_t * personalization_str, uint16_t personalization_str_length, uint8_t * p_nrbg_handle )",22,17,12,2,5,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_nrbg_generate( const uint8_t * p_requested_data, const uint8_t * p_additional_input, uint8_t requested_length, uint8_t additional_input_length, uint8_t pr_req, uint8_t nrbg_handle )",19,15,12,1,4,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_nrbg_reseed( const uint8_t * p_additional_input, uint8_t additional_input_length, uint8_t nrbg_handle )",16,12,9,1,4,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_nrbg_uninstantiate( uint8_t nrbg_handle ),32,26,15,2,6,7,0,14,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_zeroize_device(void),42,15,9,0,5,7,22,157,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,isp_page_read_handler( uint8_t const ** pp_next_page ),23,20,14,4,3,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"isp_sys_completion_handler( uint8_t * p_response, uint16_t length )",20,10,6,2,2,0,8,34,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_start_isp( uint8_t mode, comblk_page_handler_t page_read_handler, sys_serv_isp_complete_handler_t isp_completion_handler )",81,39,26,4,16,6,26,202,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_initiate_iap( uint8_t mode, uint32_t bitstream_spi_addr )",107,57,36,6,16,7,34,242,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_check_digest( uint8_t options ),71,45,26,5,10,7,16,117,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_puf_create_activation_code( void ),32,16,13,1,5,0,11,80,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_puf_delete_activation_code( void ),31,16,13,1,4,0,11,80,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_puf_get_number_of_keys( uint8_t* p_number_of_keys ),24,15,14,1,5,0,4,23,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_puf_enroll_key( uint8_t key_number, uint16_t key_size, uint8_t* p_key_value, uint8_t* p_key_location )",45,27,20,2,7,0,11,80,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_puf_delete_key( uint8_t key_number ),33,17,14,1,5,0,11,80,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_puf_fetch_key( uint8_t key_number, uint8_t ** pp_key )",28,19,14,2,5,0,4,23,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_puf_export_keycodes( uint8_t * p_keycodes ),24,15,12,1,5,0,4,24,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_puf_import_keycodes( uint8_t * p_keycodes ),24,15,12,1,5,0,4,24,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_puf_fetch_ecc_public_key( uint8_t* p_puf_public_key ),22,14,11,1,4,0,4,25,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_puf_get_random_seed( uint8_t* p_puf_seed ),22,14,11,1,4,0,4,23,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_ecc_point_multiplication( uint8_t* p_scalar_d, uint8_t* p_point_p, uint8_t* p_point_q )",24,16,13,1,4,0,4,23,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"MSS_SYS_ecc_point_addition( uint8_t* p_point_p, uint8_t* p_point_q, uint8_t* p_point_r )",24,16,13,1,4,0,4,23,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_ecc_get_base_point( uint8_t* p_point_g ),14,13,4,0,1,0,0,0,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_start_clock_monitor( void ),41,30,19,2,7,7,4,30,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_stop_clock_monitor( void ),41,30,19,2,7,7,4,30,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_enable_puf_power_down( void ),40,30,19,2,7,7,3,28,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_disable_puf_power_down( void ),40,30,19,2,7,7,3,26,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_clear_lock_parity( void ),40,30,19,2,7,7,3,26,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,MSS_SYS_clear_mesh_short( void ),40,30,19,2,7,7,3,27,
E:\LiberoProjects\HSM\HSM\drivers\mss_sys_services\mss_sys_services.c,"execute_service( uint8_t cmd_opcode, uint8_t * cmd_params_ptr, uint8_t * response, uint16_t response_length )",24,19,11,2,5,5,0,10,
